ID,Review Date,Category,Title,IMDB Rating,RT Critics Rating,Moistmeter Rating,Genre
283,8/2/2021,Movies,The Green Knight,6.6,89,80,"Adventure, Drama, Fantasy"
284,8/7/2021,Movies,The Suicide Squad,7.2,90,90,"Action, Adventure, Comedy"
285,8/15/2021,Movies,Free Guy,7.1,80,85,"Action, Adventure, Comedy"
286,8/26/2021,Video Games,Psychonauts 2,,,90,N/A
287,9/7/2021,Movies,Shang-Chi and the Legend of the Ten Rings,7.4,91,85,"Action, Adventure, Fantasy"
288,9/18/2021,Video Games,Deathloop,,,70,"Short, Action, Crime"
289,9/20/2021,TV Shows,Tokyo Revengers,7.8,,85,"Animation, Action, Drama"
290,10/2/2021,Movies,Venom: Let There Be Carnage,5.9,57,60,"Action, Sci-Fi, Thriller"
291,10/6/2021,TV Shows,Squid Game,8,95,80,"Action, Drama, Mystery"
292,10/9/2021,Movies,No Time To Die,7.3,83,85,"Action, Adventure, Thriller"
293,10/19/2021,Movies,Halloween Kills,5.5,39,40,"Action, Drama, Horror"
294,10/23/2021,Movies,Dune,6.3,37,90,"Action, Adventure, Sci-Fi"
295,11/6/2021,Movies,Eternals,6.3,47,60,"Action, Adventure, Fantasy"
296,11/8/2021,Video Games,Call of Duty Vanguard,,,45,N/A
297,11/21/2021,Video Games,Battlefield 2042,,,65,"Short, Action"
298,11/22/2021,TV Shows,Arcane,9,100,95,"Animation, Action, Adventure"
299,12/7/2021,Video Games,Halo Infinite,,,80,N/A
300,12/18/2021,Movies,Spider-Man: No Way Home,8.2,93,90,"Action, Adventure, Fantasy"
301,2/1/2022,Video Games,Pokemon Legends: Arceus,,,60,N/A
302,2/6/2022,Movies,Jackass Forever,6.8,85,85,"Documentary, Action, Comedy"
303,2/7/2022,Video Games,Dying Light 2,,,65,N/A
304,2/11/2022,Video Games,Sifu,,,90,N/A
305,2/16/2022,TV Shows,Demon Slayer Season 2,8.7,,95,"Animation, Action, Adventure"
306,2/19/2022,Movies,Uncharted,6.3,40,60,"Action, Adventure"
307,2/28/2022,Video Games,Elden Ring,,,95,N/A
308,3/5/2022,Movies,The Batman,7.8,85,80,"Action, Crime, Drama"
309,4/2/2022,Movies,Morbius,5.1,15,15,"Action, Adventure, Horror"
310,4/5/2022,TV Shows,Attack on Titan Final Season Part 2,8.8,100,95,"Animation, Action, Adventure"
311,4/10/2022,Movies,Sonic the Hedgehog 2,6.5,68,75,"Action, Adventure, Comedy"
312,5/7/2022,Movies,Doctor Strange in the Multiverse of Madness,6.9,74,80,"Action, Adventure, Fantasy"
313,5/31/2022,TV Shows,Stranger Things Final Season,8.7,86,90,"Drama, Fantasy, Horror"
314,6/11/2022,Movies,Jurassic World Dominion,5.6,29,40,"Action, Adventure, Sci-Fi"
315,6/24/2022,TV Shows,Obi-Wan Kenobi,7.1,82,50,"Action, Adventure, Sci-Fi"
316,7/8/2022,Movies,Thor: Love and Thunder,6.2,63,65,"Action, Adventure, Comedy"
317,7/9/2022,TV Shows,The Boys Season 3,8.6,98,90,"Action, Comedy, Crime"
318,8/17/2022,TV Shows,Better Call Saul,9,98,95,"Crime, Drama"
319,8/26/2022,Video Games,Saints Row,,,25,Fantasy
320,9/4/2022,Video Games,The Last of Us Part 1 Remake,,,70,N/A
321,9/14/2022,TV Shows,Cyberpunk Edgerunners,8.3,100,90,"Animation, Action, Adventure"
322,10/2/2022,Movies,Smile,6.5,79,80,"Horror, Mystery, Thriller"
323,10/16/2022,Movies,Halloween Ends,5,40,25,"Drama, Horror, Mystery"
324,10/23/2022,Movies,Black Adam,6.2,39,70,"Action, Adventure, Fantasy"
325,10/26/2022,TV Shows,House of the Dragon,8.4,87,80,"Action, Adventure, Drama"
326,10/31/2022,Video Games,Call of Duty: Modern Warfare 2,,,75,Action
327,11/10/2022,Video Games,Sonic Frontiers,,,70,N/A
328,11/12/2022,Movies,Black Panther: Wakanda Forever,6.7,84,70,"Action, Adventure, Drama"
329,11/19/2022,Video Games,God of War Ragnarok,,,95,N/A
330,12/5/2022,Video Games,Callisto Protocol,,,60,N/A
331,12/17/2022,Movies,Avatar: Way of Water,7.5,76,80,"Action, Adventure, Fantasy"
332,12/29/2022,TV Shows,Chainsaw Man,8.4,97,90,"Animation, Action, Adventure"
333,1/8/2023,Movies,M3GAN,6.3,93,75,"Horror, Sci-Fi, Thriller"
334,1/28/2023,Video Games,Forspoken,,,45,N/A
335,2/19/2023,Movies,Ant-Man and the Wasp: Quantumania,6.1,46,50,"Action, Adventure, Comedy"
336,3/11/2023,Movies,Scream 6,6.5,76,75,"Horror, Mystery"
337,3/15/2023,TV Shows,The Last of Us Show,8.7,96,90,"Action, Adventure, Drama"
338,3/19/2023,Movies,Shazam: Fury of the Gods,5.9,49,40,"Action, Adventure, Comedy"
339,3/24/2023,Movies,John Wick 4,7.7,94,95,"Action, Crime, Thriller"
340,3/29/2023,Video Games,Resident Evil 4 Remake,,,90,N/A
341,4/6/2023,Movies,Super Mario Bros. Movie,7,59,80,"Animation, Adventure, Comedy"
342,4/22/2023,Movies,Evil Dead Rise,6.5,84,85,Horror
343,4/24/2023,Video Games,Dead Island 2,,,55,"Short, Comedy, Horror"
344,5/2/2023,Video Games,Star Wars Jedi: Survivor,,,70,N/A
345,5/6/2023,Movies,Guardians of the Galaxy 3,7.9,82,80,"Action, Adventure, Comedy"
346,5/18/2023,Video Games,Zelda Tears of the Kingdom,,,90,N/A
347,5/19/2023,Movies,Fast X,5.7,56,70,"Action, Adventure, Crime"
348,6/3/2023,Movies,Spider-Man: Across the Spider-Verse,8.6,95,90,"Animation, Action, Adventure"
349,6/11/2023,Movies,Transformers: Rise of the Beasts,6,52,65,"Action, Adventure, Sci-Fi"
350,6/16/2023,Movies,The Flash,7.5,63,70,"Action, Adventure, Drama"
351,6/19/2023,TV Shows,Demon Slayer Season 3,7.5,,80,"Animation, Action, Adventure"
352,7/4/2023,Movies,Indiana Jones and the Dial of Destiny,6.5,70,60,"Action, Adventure, Sci-Fi"
353,7/11/2023,TV Shows,Hell's Paradise,8.1,,75,"Animation, Action, Adventure"
354,7/14/2023,Movies,Mission Impossible: Dead Reckoning,7.7,96,95,"Action, Adventure, Thriller"
355,7/21/2023,Movies,Barbie,6.8,88,,"Adventure, Comedy, Fantasy"
356,7/23/2023,Movies,Oppenheimer,8.3,93,90,"Biography, Drama, History"
357,8/19/2023,Movies,Blue Beetle,6,77,60,"Action, Adventure, Sci-Fi"
358,10/1/2023,Movies,Saw X,6.6,80,70,"Horror, Mystery, Thriller"
359,10/28/2023,Movies,Five Nights at Freddy's Movie,5.4,32,45,"Horror, Mystery, Thriller"
360,11/10/2023,Movies,The Marvels,5.5,62,25,"Action, Adventure, Fantasy"
361,12/23/2023,Movies,Aquaman 2,5.6,33,35,"Action, Adventure, Fantasy"
362,2/1/2024,Video Games,Suicide Squad Kill the Justice League,,,45,N/A
363,2/24/2024,Movies,Netflix Avatar the Last Airbender,7.2,61,50,"Action, Adventure, Comedy"
364,3/1/2024,Movies,Dune Part 2,8.5,92,95,"Action, Adventure, Drama"
365,3/26/2024,Movies,Roadhouse,6.2,59,75,Drama
366,3/29/2024,Movies,Godzilla x Kong New Empire,6.1,54,70,"Action, Adventure, Fantasy"
367,4/25/2024,TV Shows,Shogun,8.7,99,95,"Adventure, Drama, History"
368,5/11/2024,Movies,Kingdom of the Planet of the Apes,7,80,80,"Action, Adventure, Drama"
